Question,Correct response,Follow-up questions needed,Comment
"What to do if my cows are weak?

","If your cow is weak it is important to call a veterinarian for swift diagnosis and treatment. It is important to ensure that the cows are taken to a well sheltered and protected area and supplied with fresh and clean feed and water. Signs of weakness in cow can indicate a number of issues including injury or Nutritional Deficiencies. 
In case of injuries, weak cows are often targeted by predators. As such, owners need to be informed of such minor symptoms and ready to initiate swift intervention to improve their chances of survival. As soon as it is found that the cows are weak, the initial action is to roll them to a seated position and hold them with hay bales. Lying flat on the side may cause stomach bloating and nerve and muscle damage in the limbs, lowering the chances. The next action is to contact an animal veterinarian for an accurate diagnosis and prompt treatment. In the event the injury or illness seems irreversible, it must be established sooner to prevent suffering. Suppose the cow needs to be transferred to a different location; a cart should be used, and once moved, it should be offered fresh feed along with water continuously. These should be placed near the cow's head for quick access during her recovery and therapy.
In case of Nutritional Deficiencies, the veterinarian will advise on how to supplement the cows with the right medication and feed. During this time ensure that the cow is well fed, ensuring high quality food and water. Additionally, implement a diseases prevention program through vaccination and isolation to reduce spread of diseases to weak cows. ",Which feeds do you provide to your cows?,
"What is the status of milk production in Kenya?

","Dairy farming in Kenya is a vital sector in the economy of Kenya with it contributing to 17% to agricultural GDP and 3.8% of the total national GDP. Milk production in Kenya has remained relatively stable over the past decade, but consumer demand is increasing. Dairy farming benefits the country in various ascepts such as creating employment, improved livelihoods and also contributes to food security. Currently the production stands at 5.2 billion liters per year, accounting for ten percent of Africa's and thirty-five percent of the total milk supply in the East African Community. In 2023, Kenya processed 555.4 million liters of milk surpassing the 473.6 million liters processed in 2022. Additionally, around 1,000 metric tons of butter and ghee were produced in the country in 2023, while the production of cheese was measured at 72.5 metric tons. Milk production is primarily done by small scale farmers accounting to 565 of the output. The main production systems in Kenya include Intensive production –animals are fully zero grazed , open grazing where animals move freely in the field and semi-intensive systems where animals partly zero grazed and taken to the fields.",How many milking cows do you have and how much milk are they producing?,
How do I control yellow pests in paddy fields? ,"When you see yellow pests in your paddy field, these are generally the yellow stem borers.  They cause damage by boring into rice stems, which could lead to falling of crops and reduced yields. Control measures include: cultural methods, biological methods and the use of pesticides.
Cultural methods would entail proper spacing, clean fields, proper land tillage and flooding. You could also employ preventive measures such as planting at the same time in the community, remove infested plants and destroy residues from the previous crops
For biological control, you could use trap crops, biopesticides or crude plant extracts with pesticidal properties such neem, garlic etc; and traps such pheromone or light traps.
Chemical sprays should be used as the last resort if the pest population go beyond critical threshold",What is the local name for these these yellow pests in paddy ,
"What is the best goat feed?

","Goats are renowned to consume several feeds and shrubs. Selecting suitable or best feed that is nutritious is dependent on various factors. But since goats are browsers and ruminant animals, they should be fed fibrous foods that consist of woody plants like vines and shrubs and grass tops, alongside supplementary nutrients like forages (hay) and possibly grain rations, vitamins (A, D, and E), calcium, free-choice salt, and phosphorus. Goats reared for milk should be supplemented with concentrates like grains and goat mixes, roughages, forages like maize, oats and cereal crops, and mineral salt licks to supplement important minerals and electrolytes.",Which other feeds are available or accessible in your farm?,
How do I prevent cotton bollworm?,"Cotton bollworm is one of the devasting pests on cotton by causing significant damage at nearly every stage of the crop. To keep cotton crop away from cotton bollworm, the following measures are recommended: use resistant varieties, field sanitation, traps crops, crop rotation and reliance on natural enemies.
Resistant varieties to cotton bollworm are the recently released Bt varieties. These varieties are genetically modified with Bt genes/proteins that are poisonous to bollworms
The maintenance of clean fields keeps the pest away. Always remove trash/debri from the farm to eliminate hiding and breeding places for the pest.
Crops such as African marigold, pigeon pea and okra suitable trap crops; and ought to be intercropped with cotton
To break the pest cycle, it is recommended to rotate cotton with crops that are not attack by bollworms such as groundnuts",At what stage of your crop is cotton bollworm most devastating? ,
What is the best fertilizer when planting?,"At germination and early plant establishment, crops have a high demand for mineral phosphorus which required for root development. In this regard, it is important to apply fertilizer that is rich in phosphorus. Depending on the crop, available options for phosphorus supply are DAP, NPK as well as TSP. For instance, TSP is important when planting paddy while DAP could be used in soils that have low acidity. NPK based fertilizers could be in areas where other forms of fertilizers could apparently increase acidity of the soil.",Is fertilizer affordable and accessible?,
How much cow dung should be applied per hectare?,"Ideally manure is applied at the rate 10 t/ha. However, the required depends on fertility level of the farm as well as nutrient status of manure. Some manure sources have higher nutrient content compared with other; for instance chicken and guano are rich source of nutrients, including nitrogen, phosphorus, and potassium. Also, the quality of manure depends on the feed of the animal. It’s highly recommended to apply well-rotten and very well-decomposed manure at the start of the season, and should be well incorporated into the soil. To make good manure, cow dug should be heaped in a cool and well covered place for natural and mature decomposition. 
Manure can either by applied through broadcasting in the field followed incorporation through ploughing; or spot applied onto planting holes. Remember to always cover your manure after application. ",How much manure do you generate from your farm; and from which animal/s?,"the use of the term ""cow dung"" is not sensible"
"White mold is developing on my mushrooms, what are potential solutions?

","White mold on mushrooms could develop due to the following low air circulation, overcrowding or excessively wet conditions. To prevent this problem, consider the following: 
Improve air circulation in your growing house by ensuring proper ventilation which reduces relative humidity in the house. High relatively humidity creates favourable conditions for white mold to develop
Reduce watering of your mushroom to lower relative humidity in the house
Try to improve arrangement of your growing media to minimize crowding the house; this will also improve air circulation ",How have you constructed your mushroom growing house,
"How many types of onions are there and what are there benefits?

","Onion is one of the most consumed vegetables globally. Onions are of different types, and each type of has different nutritional profile and flavors. Onions are broadly classified as either bulb or spring (green leaf). Common types of onions and their corresponding benefits are:
Red onions: these are strong pungent aroma types which mostly used for cooking or raw salads (kachumbari). They are highly rich in antioxidants 
White Onions: these are milder than red types yet flavorful, and often used for cooking. They are rich in antibacterial properties
Green onions: they leafy and good source of vitamins (A, C, K), antioxidants and fiber. Owing to their fresh and flavorful touch, they are used as a garnish for soups, stews, samosas, mukimo.",Which onion type is preferred in your local market?,
"How much animal feed should be given to milk cows?

","Feed demands for milk cows often differ depending on the lactation stage as well as the number of pregnancies. Farmers aim to produce about 1.4l to 1.6l of milk per kg of dry matter fed to cows and aim to produce at least 30 to 40 litres per day translating to at least 35kg of feed per day. Notably, milk- producing cows ought to be fed a complete mixed ration containing all of the necessary nutrients a cow requires for every bite. Such a diet must include approximately 50 to 60 percent forage (silage and hay) and between 40 and 50 percent concentrate supplements (protein meal, grain, fat, mineral/vitamin), with each kilogram of dry matter broken down into 70 percent carbohydrate, 18 percent protein, 6 percent fat, and 6 percent minerals and vitamins.",How many lactating cows do you have?,
"How much feed is needed for a rural cow?

","In remote or rural areas of Kenya, cow feeding habits usually involve grazing and also providing supplements such as concentrates, forages, and occasionally crop residue. The amount of feed will depend on the growth stage of the cow. This always makes the type of feed and specific amounts offered vary based on resources available, the cow's weight or size, and milk production level. This means that certain feed adjustments are always made for dairy cows producing milk. Thus, it can be estimated that feed (dry matter per day) for rural cows should be 3 to 4 percent of their overall body weight, with a blend of forages such as legumes and grasses, and if possible, commercial dairy meals or maize germ concentrates can be offered. For cows that are producing milk or lactating cows weighing 600 kg, this will translate to dry matter of about 18 to 24 kg.",What is the grazing system for your livestock?,
"What should be fed to a pregnant cow?

","Nutritional management for a pregnant cow is important for both cow and the calf health. Good pregnancy care results in healthy calves, healthy lactation and seasonal growth. At the beginning of the pregnancies the cows should maintain their feed requirements. The second trimester involves muscle tissue development and organ development requiring increased feed and specific nutrition in the animals feed. Studies have shown support the fetus during this stage causes an improvement in better carcass weight and higher quality grades. The mother in turn has better weight, growth and muscle potential. In the final trimester however, the calves develop faster requiring an increase in the feed requirement and nutrition demands. The calves undergo lung development at this stage which is vital in responding to diseases once born. Providing enough cattle nutrition is critical to prepare the calf for a good start and the cow for a healthy high. The nutritional includes additional protein, energy, vitamins and minerals to support the final stages. Each stage requires different nutrition needs incorporating macro and micro minerals throughout the pregnancy period is an added advantage.",Can you access diverse feed for your cow?,
"How do I manage water in rice cultivation?

","Water is important in rice cultivation for: photosynthesis; weed suppression; nutrient uptake; and cooling the plant the plant via when water is lost from the leaves. It is therefore important to maintain a balance between evapotranspiration and supply. Critical stages when water is required in large quantities in rice field are: 
After land preparation it’s recommended to flood the field to facilitate puddling
Before transplanting it recommended to drain water from the field. However, after transplanting the seedling should be covered up to 80% of its height for a period of 3 to 7 days. This reduces transpiration and gives the plants a chance to re-establish their roots to be able to take up enough water from the soil
After seedlings establish, through to tillering, intermittent wetting is required 
From panicle initiation to heading: water level should be increased to 10 cm because pollen shed and fertilization requires humid conditions. Low moisture content (low relative humidity (RH%) in the air leads to poor pollination hence sterile spikelets
During grain filling through to ripening it is recommended to gradually reduce watering. Particularly, reduce irrigation 7to 10 days before harvesting; drain the field to harden the soil for good harvesting and also to hasten the drying and ripening of the rice grains",Do you have restrictions/limitations to access of irrigation water in your rice fields; and particularly at which stage of the crop do the challenges occur?,
What type of beans should I plant?,"Beans is one the most important grain legumes in our crop systems, often grain as intercrop with cereals or in pure stands but in rotational sequence with cereals. Common types of beans are:
Bush types: these are compact, short plants that grow as bushes (usually 1–2 feet tall), and do not require support with stakes.
Climbing beans: these are long and vining plants that can grow to 6 - 10 feet or more, and they support to grow vertically. They produce more foliage than bush types. 
Beans are also classified based on market classes which include: red kidney (nyayo beans, rosecoco), red mottles (nyota and faida), speckled sugars (mwitemania) and pinto careocus (mwitemania). Navy bean is a class of beans that is primarily used for canning. ",Which bean types do you plant in your farm?,
What precautions should farmers take to prevent waterlogging?,"Waterlogging could lead to anaerobic conditions as well as create favourable conditions for rot rots. To prevent waterlogging, the following practices are advised: growing crops on raised beds, mulching, improved drainage system, better irrigation management practices to keep soil at field capacity. ",What do you think leads to waterlogging problems in your farm?,
What are the common diseases that affect cattle?,"Cattles are vulnerable to some common diseases that impact their health, productivity and the livelihoods of the farmers. Some of the predominant diseases include East Coast Fever which is a disease caused by a protozoan parasite transmitted by ticks. Its symptoms include high fever, swollen lymph nodes, difficulty in breathing and even death. It can be controlled by regularly spraying acaricides to control ticks and also vaccination. Another common disease is the foot and mouth diseases commonly called FMD which is a highly contagious viral disease. It causes fever, blisters in the mouth and foot and weight loss. Prevention includes use of vaccines, high sanitation levels and restriction of livestock movements. Mastits in cattle is also a common disease. It is caused by bacteria, viruses and fungi. It causes inflammation of the udder tissue reducing milk production. Symptoms include swelling, redness and pain of the udder. It can be prevented by providing a clean environment for the cattle and ensuring there are cleaned before milking.",Which disease is most prelevant in your area?,
"How can animals be protected from infectious diseases?

","Farmers usually protect their animals from diseases by employing a number of approaches or measures. Such measures fall into three primary groups: vaccination, biosecurity, and animal husbandry. Vaccination predominantly involves administering antiviral or antibacterial vaccines to prevent conditions or illness from occurring in the future. Vaccination builds the immunity of animals against a number of diseases. Biosecurity, on the other hand, involves guaranteeing proper sanitation, separating sick animals, disinfecting farm materials and dwelling areas, and practicing rodent control. This measure entails cultural and day-to-day operations in the animal environment to prevent diseases from occurring. Animal husbandry measures encompass providing nutritional requirements, offering clean water, maintaining temperatures, and maintaining good air ventilation, among others. It is also important to note that early detection and response to diseases plays a key role for timely control of diseases. This can be achieved by undertaking regular checks and monitoring animal health.",How easily is it to access a vetereniranian in your farm?,
"What causes dandruff in onions?

","Dandruff in onions manifest as white or greyish flaky, powder-like substance on the skins of the bulb. It’s associated with fungal infections when onions are predisposed to high humidity and poor air circulation during storage. Damage to the bulb during growing period or at harvest increases chances of infection by fungus. ",How do you store your onions?,
"What are the main symptoms of common parasitic diseases found in animals?

","Animal parasitic diseases are often caused by certain organisms, such as worms, protozoan organisms, and parasitic insects. These diseases usually present specific signs and symptoms, which depends on the parasitic organism and host animal. Common manifestations include muscle weakness, fatigue, nutritional deficiencies and weight loss, vomiting, indigestion, and diarrhea, blisters, severe itchiness, thinning hair, and, in some instances, neurological manifestations like seizures, swirling, and immobility. Others may trigger anemia, breathing problems, and fevers. Protozoan diseases like coccidiosis, trypanosomiasis, and babesiosis will have myriad of symptoms. Some of the symptoms include diarrhea, weight loss, reduced appetite, fever, anemia, weakness, swollen lymph nodes, and dehydration in animals. Worms like liver fluke, roundworms, tapeworms lead to swollen abdomen, anemia, diarrhea, liver damage, weight loss, coughing, poor growth and itching among others. Ectoparasites/parasitic insects like mites, ticks, fleas and lice will cause itching, scratching, hair loss, anemia, skin wounds, and tick paralysis when uncontrolled. ",Which symptoms have you experienced in your farm?,
"How to treat lameness in animals?

","Lameness in animals is caused by different conditions and can be difficult to deal with. A successful treatment of lameness starts with proper diagnosis of the animal to know the best interventions to undertake. One of the treatments includes the antibiotic injection. For example, lameness that comes from a foot rot with a swelling above the hoof and soreness between the toes, an antibiotic injection is expected to react well on it. In addition, some of the joint infection not all can be treated by an antibiotic injection. Other procedures might be also used to treat lameness. Trimming or carving out the hoof for the hoof-related lameness, using a tilt table that immobilizes the animal and the limbs is often the best. Animals with low-limb fractures or dislocations may be successfully treated with heavy bandages or casts.",What are the causes of lameness in your animals?,
How can soil health be improved with crops?,"Soil health is the soil’s capacity to support healthy crops, soil fauna and ecosystem functioning. Judicious combination of crops, either as intercrops or in rotational sequences could substantially improve soil health. Legume crops such beans are good candidates for health improvement due to their ability to fix nitrogen (biological nitrogen fixation) as well as through the decomposition their biomass which highly rich in nutrients. Growing of crops of different rooting depths also improves soil health through enhanced nutrient pumping mechanics. For instance, deep rooted crops facilitate nutrient cycling through the uptake of nutrients from deeper horizons and depositing them in the upper layers through little fall or residue decomposition. Also, dead roots create channels that improve soil aeration and water percolation. Further, cover crops are good candidates for soil health improvement when they ploughed in at the right developmental stage.",How do you intergrate cereal crops with legume types in your farm?,
What are some organic methods of controlling pests and diseases in bean crops?,"A broad definition of organic farming is systems that sustain the health of soils, ecosystems and people, and rely on ecological processes, biodiversity and cycles adapted to local conditions, rather than the use of inputs with adverse effects. It combines tradition, innovation and science to benefit the shared environment and promote fair relationships and a good quality of life for all involved. In beans, organic methods for control of pests and diseases may include: Growing healthy crops that suffer less damage from pests and diseases.
Choosing crops with a natural resistance to specific pests and diseases. Local varieties are better at resisting local pest and diseases than introduced varieties.
Timely planting of crops to avoid the period when a pest does most damage.
Companion planting with other crops that pests will avoid, such as onion or garlic; which produce semiochemicals that alter pest behaviour 
Trapping or picking pests from the crop; upon positive identification of the pest
Spraying crops with crude plant extracts
Identifying pest and diseases correctly. This will prevent the farmer from wasting time or accidentally eliminating beneficial insects. It is therefore useful to know life cycles, breeding habits, preferred host plants and predators of pests.",Which are the most prominent pests and diseases in bean crops?,
"What are the diseases that occur in rice crops?

","Diseases are a major cause of yield losses in rice. Main diseases are rice blast, brown spot, shealth blight and rice yellow mottle virus. Rice blast is the most severe disease in Kenyan rice fields, with particularly devastating impacts on seedlings and during heading. Its infection is exacerbated by high temperature and high humidity conditions. Common control measures are the use of resistant varieties, use of healthy seedlings as well as the removal of infested plants. Avoid excessive nitrogen fertilizer application which promotes blast disease. Fungicides could used as a last resort when infestation exceeds critical thresholds. ",How can you identify that your rice crops are infected by blast?,
"There is a lot of grass in the paddy, what are potential solutions?","Grass in paddy is weed that compete with your rice crop for water, nutrients, light and space. Also, theses grasses could provide hideout for pests, and could act as hosts for disease pathogens. Often, these grasses in paddy are close relatives to rice and could be very to identify particularly at young stage. Therefore, to deploy control measures, it is important to first identify the grass correctly so that you don’t unintentionally remove your rice crop. Potential weed control solutions are water management to suppress weeds, manual weed removal by hand, or by use mechanical weeders. Do not use herbicides in paddy fields.",What is the most common grass type in your paddy?,
"Which onion seed is good?

","Onion seed comes in a range of varieties. These varieties are used for different purposes and adapt differently to agroecological zones, as well as resistance to diseases. Additionally, the market dictates which variety farmers need to grow. 
Based on market preferences, onion seed come in three typical class: small, medium and large. The small and medium are commonly preferred in the household consumer market. The large onions are suitable in hotels and for processing.
Depending on agroecological zones, varieties such a Red Creole, Texas Grano and Neptune F1 adapted diverse climatic conditions and are particularly suitable for lowlands. The Bombay Red is suitable for Kenyan highlands.
In term of disease tolerance, onion downy mildew, is most devastating disease in onions. The Bombay Red and Texas Grano are highly susceptible to downy mildew and should not be grown in areas where the disease is prevalent. However, the Red Pinnoy F1 is moderately tolerant to the disease. ",Which of types of onion do you or are grown in your area,
"How to prepare a room to grow button mushrooms?

","To set up a room to grow mushroom, the following must be adhered to:
Location & structure: choose low ground – this encourages & darkness; insulate the room to reduce temperature fluctuations
Environmental control: ensure sufficient controls for temperature, moisture, humidity & light
Substrate preparation and setup: follow standard procedures for composting of the substrate and set-up in the house to optimize temperature and humidity fluctuation
Hygiene & sanitation: ensure sterile conditions at all times in growing house",Which materials do have access to that can build a well-insulated room for growing mushroom?,
"When can you cultivate paddy in Kenya?

","Paddy is rice that is grown under permanently flooded conditions. To cultivate paddy, there are a series of processes that need to be followed:
Nursery: start the rice crop in a well-prepared nursery well in advance. 
The main land preparation usually follows three important steps, including ploughing, flooding, rotovation and puddling
Ploughing: use disc plough to the primary tillage to the desired depth. Ensure the land is thoroughly ploughed to the same depth.
Flooding: after the primary ploughing, flood the entire block for a few days before rotovating.
Rovotation: Use a rotovator machine to thoroughly dig through the soil to break large soil clods. Perform repeated rotovation runs until a fine tilth. 
Puddling: puddling mixes soil and water to produce an impervious layer by reduces soil pore sizes. This could done either mechanically or manually. Usually, Kenyan farmers rely on manual puddling by use of boards drawn by bulls or boards drawn by humans. 
Transplanting: after puddling, the land is ready for transplanting, and seedlings are ready at around 21 days after sowing. After transplanting, it is important to follow the recommended water management regimes through to ripening.",How do you rate your access to farm machinery?,
"When can you cultivate onions?

","Ideally, cultivation of onions is determined by market availability and prevailing weather conditions. It is very important to synchronize the growing cycle of onion with the season. In particular, onions must mature during the dry period. Note that wet and rainy conditions cause massively losses to onions at maturity; which lead to rotting and loss of quality. ","Suppose you transplant your onion seedlings at the start of the short rains growing in November, when you think the crop will be mature? Is this month dry or wet?",
How can I plant mushrooms?,"Growing of mushrooms is a systematic process. First, you a nutritious substrate, spawn which contains the mushroom mycelium and a casing layer. Key steps to be followed are:
Substrate preparation: to prepare the growing media it is important to compost both organic materials from diverse sources to create a nutritious substrate. These materials could be crop residue and well-rotten manure. Add additional nutrients and create the desired moisture level
Spawning: introduce the mushroom mycelium into growth media buy spreading it onto the surface of media
Casing: after spawning, apply a layer of inert materials onto the substrate. This could be peatmoss mixed ground limestone
Pinning & cropping: when the mushrooms emerge and start to grow, control temperature and humidity in the house.
Harvesting: harvest at the desired size depending on variety",How would you maintain sterile conditions in your mushroom house,
"What diseases are caused by mushrooms?

",Not all mushrooms are edible. Some species are poisonous and can cause illness or death if consumed. It is important to identify mushrooms correctly before handling and consuming them. It is very easy to mistaken poisonous varieties for edible types. Most diseases arising from consumption of poisonous mushrooms are fungal infections; which could affect the respiratory system or brain.,Have you ever heard a case of mushroom poisoning?,
What types of mushrooms are there?,"Mushroom farming is a lucrative venture in Kenya. There are range of types of edible types that are either wild or grown
Button: this is the most popular type in Kenya, and has the highest demand
Oyster: it’s also a popular type; easy to grow in diverse places
Portobello: this is large type with brown cups. 
Termitomyces: this an indigenous type; typically wild species but edible
Shiitake: these are wild species",Are there any wild types that edible in your location?,
