question,options,correct_answer
Which maize varieties are suitable lowlands of Kenya,"DH01, DH02, DH05, Duma 43, H6213, H519|DH01, DH02, DH05, Duma 43, Sungura 301|H627, H6213, DH01, DH02, DH05, Duma 43, H6213, H519|H512, H511, D01, DH02, DH05, Duma 43, H6213, H519",1
Which is the most optimal time to apply pesticides?,"Spray either early in the morning or late in the evening when it’s cool, and the pests are active|Spray when its sunny, hot, windy, and insects are visible on the crop|Spray the pesticide directly towards the wind|Spray immediately before or after heavy rainfall",0
How do I make organic fertilizer from animal manure?,"Collect manure, compost it, apply the compost to the soil, and monitor soil quality.|Collect manure, store it for several weeks, compost it, and apply it to the soil.|Collect fresh animal manure, mix it with carbon-rich organic materials (like crop residues or dry leaves) to balance the carbon-to-nitrogen ratio, maintain adequate moisture and aeration during composting by turning the pile regularly, and apply the mature compost to the soil.",2
What is the best weed control strategy on a farm?,"Use mechanical control methods, apply herbicides, monitor weed growth, and evaluate alternatives.|First identify the weed species in your farm, use mechanical control methods e.g uprooting or manual weeding, monitor weed growth rate, and evaluate alternatives whether it requires use of herbicides to manage its growth and competition.|Identify weed species, apply chemical herbicides, monitor the effectiveness, and evaluate alternatives.|Apply herbicides, use mechanical control, monitor effectiveness, and evaluate alternatives.",1
Which diseases should I look out for during cold weather in poultry?,"Newcastle disease, fowl cholera, coccidiosis|Fowl cholera, coccidiosis, aspergillosis and respiratory distress|Aspergillosis, fowlpox, infectious coryza, pneumonia|Pneumonia, coccidiosis, and respiratory distress",3
Which are the best practices when intercropping crops?,"Intercrop maize with millet and sorghum|Intercrop legumes such beans, cowpea, mung beans or pigeonpea with cereal crops like maize, sorghum or millets. However, pay attention to spacing to minimize competition|Intercrop tall crop with similarly tall crops irrespective of the species|Intercrop legumes such beans, cowpea, mung beans or pigeon pea with cereal crops like maize, sorghum or millets at close spacing to increase yield per unit",1
How do I compost crop residues to enhance soil fertility?,"Add organic matter to the compost pile, chop or shred crop residues, and turn regularly.|Collect crop residues, chop/shred them to increase surface area, add a layer of organic matter such as animal manure or green materials in the compost pile, maintain proper moisture and aeration, and turn the compost regularly to support decomposition and aeration.|Collect crop residues, turn them regularly, chop or shred them, and add organic matter to the compost|Collect crop residues, add organic matter to the compost pile, chop or shred them, and turn regularly.",1
How do I create a simple farm budget for one season of maize farming?,"List only income from maize sales and ignore costs related to inputs, labor, and maintenance.|Come up with a list of all activities to be undertaken, estimate the cost of production including inputs, labor. Estimate the expected yields and price per bag, subtract costs for inputs, labor, and land preparation, then determine the profit or loss.|Record all expenses first and use any leftover funds for farm activities, regardless of income.|Only calculate costs for seeds and fertilizer, as they are the only important expenses for maize farming.",1
How do I apply pesticide to ensure safety and effectiveness,"Mix the pesticide according to instructions, wear PPE, apply it on windy days, and clean equipment thoroughly.|Wear appropriate PPE, mix the pesticide strictly according to label instructions, calibrate the spray equipment, apply during calm weather to prevent drift, avoid applying pesticides on peak heat periods, clean all equipment thoroughly after use, properly dispose the pesticide container.|Wear PPE, apply pesticide on windy days, mix according to instructions, and clean equipment.",1
Which is the best practice in transplanting seedlings?,"Prepare the seedbed in advance to fine tilth; Seedling ought to be transplanted at the right stage; harden the seedlings by removing excess shade and reduce watering; on the day of transplanting, thoroughly irrigate the nursery to enable easy removal of the seedlings; transplant the seedlings onto well irrigated seed bed and place the roots carefully to avoid injury. The best time to transplant is late in the evening when it’s cool|Prepare the seedbed in advance to fine tilth; Seedling can be transplanted at any time of the day depending on one’s convenience. Seedling ought to be transplanted at the right stage; harden the seedlings by removing excess shade and reduce watering; on the day of transplanting, thoroughly irrigate the nursery to enable easy removal of the seedlings; transplant the seedlings onto well irrigated seed bed and place the roots carefully to avoid injury.|Prepare the seedbed in advance to fine tilth; Seedling ought to be transplanted at the right stage; on the day of transplanting, thoroughly irrigate the nursery to enable easy removal of the seedlings; transplant the seedlings onto well irrigated seed bed and place the roots carefully to avoid injury. The best time to transplant is late in the evening when it’s cool|Prepare the seedbed in advance to fine tilth; Seedling can be transplanted irrespective of their stage of development; harden the seedlings by removing excess shade and reduce watering; on the day of transplanting, thoroughly irrigate the nursery to enable easy removal of the seedlings; transplant the seedlings onto well irrigated seed bed and place the roots carefully to avoid injury. The best time to transplant is late in the evening when it’s cool",0
