Question	Correct response	Follow-up questions needed	Comment
What are some regenerative farming strategies I can try?	Dear Farmer Namasthe, The following are the regerative farming strategies focus on holistic, environmentally friendly practices that enhance soil health, biodiversity, and overall ecosystem resilience.  1. Zero tillage / minimum tillage / reduced tillage  2. Cover crops  3. Multching  4. Crop rotation 5. Integrated Pest Management (IPM)  6. Integrated Farming  7. Organic Farming  8. Water Conservation (Drip/Spinkler) 9. Residue incorporation 10. Green Manure  		
What to do if my cows are weak?  	Dear Farmer if your cows are weak,  1. Provide fresh water and good quality feed.  2. Note symptoms like fever, diarrhea, discharge, or labored breathing, as these can indicate underlying illnesses.  3. Check for signs of injury, such as lameness or swelling.  4. Provide a soft, dry area for the cow to lie down on.  5. A veterinarian should be contacted as soon as possible for proper diagnosis and treatment. 6. Implement a deworming program to prevent parasitic infections that can cause weakness.  7. Maintain clean and dry living conditions to prevent infections.  8. Minimize stress factors that can weaken cows, such as overcrowding or improper handling 		
What is the status of milk production in India? 	Dear Farmer friend, during the year 2023-2024 the milk production was 239.3 million tonnes and per capita availibility was 471 gr/day. 		Source: Basic Animal Husbandry Statistics, MoFAHD, DAHD, GoI
How do I control yellow pests in paddy fields? 	Namathe Farmer, Yellow pest / yellow stem borer is a major pest in paddy fields of tropical and subtropical regions. WHich causes significant yield losses. The larvae will feed on the plant's stems and lead to "deadhearts" (dried central shoots) and "whiteheads" (empty panicles).   Management:  1. Install light trap @ 1 / ha and pheromone trap @ 5 / ac. 2. Release egg parasitoid, Trichogramma japonicum @ 2cc /ac 3 times at weely interval. 3. Spray Neem seed kernel extract 5% or Azadirachtin 0.03% 400 ml/ac. 4. Spray any one of the following insecticides Acephate 75 % SP 267-400 g/ac Carbofuran 3% CG 10 kg/ac Carbosulfan 6% G 6.7 kg/ac Carbosulfan 25% EC 320-400 ml/ac CartapHydrochloride 50 % SP 400 g/ac Chlorantraniliprole 18.5% SC 60 ml/ac Chlorantraniliprole 0.4% G 4 kg/ac Chlorpyriphos 20% EC 500 ml/ac Fipronil 5% SC 400-600 g/ac Fipronil 80%WG 20-25 g/ac Flubendiamide 20% WG 50 g/ac Flubendiamide 39.35% M/M SC 20 g/ac Thiacloprid 21.7% SC 200 g/ac Thiamethoxam 25% WG 40 g/ac		
What is the best goat feed?  	Namasthe Farmer, The best goat feed typically includes a combination of forages like hay (prepared from leguminous crops) and pasture, along with supplementary grains. Goats need a diet high in fiber, primarily from forages, but certain goats, that are growing or lactating, will benefit from added grains or concentrates to meet their higher energy needs.   Along with the above the following occasional treat will be required to avoid choking hazards: Carrots, Watermelon, Blueberries, Strawberries, Raspberries, Bananas, Grapes, etc.,   		
How do I prevent cotton bollworm?	Dear Farmer, In cotton there were three tyoes of bollworms, please follow the following management practices depending the kind of bollworm in your farm.   A. Fruit Borer  1. Moniter the pest through light traps, pheromone traps  2. At early stages of square formation apply one of the following insecticides Acephate 75%SP 780 g/ha Azadirachtin 0.03% EC 500 ml/ha Carbaryl 10%DP 25 kg/ha Chlorantraniliprole 18.5% SC 150 ml/ha Chlorpyriphos 20% EC 1250 ml/ha Diflubenzuron 25%WP 300 g/ha Emamectin benzoate 5% SG 190-220 g/ha Fipronil 5%SC 2000 ml/ha Flubendiamide 20%WG 250 g/ha Flubendiamide 39.35%SC 100-125 ml/ha Indoxacarb 14.5%SC 500 ml/ha Lufenuron 5.4%EC 600 ml/ha Novaluron 10%EC 1000 ml/ha NPV of H. armigera 0.43% AS 400-600 ml/ha Profenofos 50% EC 1750-2500 ml/ha Pyridalyl10%EC 1500-2000 ml/ha Spinosad 45.0%SC 165-220 ml/ha Thiodicarb 75%WP 1000 g/ha  3. During bolling and maturation stage, apply any one of the following insecticides (1000 l of spray fluid/ha): Quinalphos 25 EC 2.0 l/ha Carbaryl 50 WP 2.5 kg/ha Pyraclofos 50 EC 1.5 l/ha  4. Biological control: Bacillus thuringiensis-k 750-1000 g/ha Bacillus thuringiensis serovar kurstaki (3a,3b,3c) 5%WP 500-1000 g/ha Beauveria bassiana 1.15% WP 400 g/ha  B. Pink bollworm  1. Use pheromone traps (@ 5 / acre) to monitor the adult moth activity. 2. Install large numbers of pheromone traps for mass trapping and destruction of pink boll worm  3. One spray of neem seed kernel extract (NSKE) 5% may be taken up at 60 days after sowing which provides anti feedant and ovicidal effect 4. Release parasitoid Trichogramma bactrae eggs @ 3 cc (60,000)/acre 5. Spray Quinolphos 20% AF @20 ml per 10 lit. of water or Thiodicarb 75%WP @ 20 gram per 10 liter of water or Chlorpyriphos 20%EC @ 20 ml per 10 litre of water or Fenevelerate 20% EC @ 10 ml per 10 litre of water or Cypermethrin 10% EC @ 10 ml per 10 lit. of water.  6. Terminate cotton crop by December to mid-January 7. Destroy residual stalks and partially opened bolls  C. Spotted bollworm  1. Spray any one of the following insecticides Carbaryl 5%DP 20 kg/ha Chlorantraniliprole 18.5% SC 150 ml/ha Flubendiamide 39.35%SC 100-125 ml/ha Indoxacarb 14.5%SC 500 ml/ha Phosalone 35%EC 1714ml/ha Profenofos 50% EC 1500-2000 ml/ha Triazophos 40%EC 1500-2000 ml/ha  2. Bacillus thuringiensis serovar kurstaki (3a,3b,3c) 5%WP 750- 1000 g/ha		
What is the best fertilizer when planting?	Dear Farmer friend, for good plant growth plants need basic nutrients, supplementary nutrients & micronutrients. Nutrient availability in soil depending on soil texture (loam, loamy sand, silt loam), organic matter content and pH, which can be assessed through soil test. A complete fertilizer will contain as much as nitrogen - phosphorus -  potassium (NPK). The folowing organic and complex ferilizers will provide necessary nutrients for healthy plant growth.  1. Organic Fertilizers - Cow Dung Manure, Farm Yard Manure (FYM), Biocompost, Vermicompost, etc. 2. Mixed chemical fertilizers - Nitrophosphate (20:20:0), Mono Ammonium phosphate (11:18:0), Diammonium phosphate (21:54:0), Nitrophosphate with potash- Suphala (15:15:15), Sampurna (19:19:19).		
How much cow dung should be applied per hectare?	Namathe Farmer, The recommended amount of cow dung to apply per hectare varies, but a common range is 4,000 to 6,000 kg/ha. When incorporating cow dung into soil, it's recommended to apply it at least 15 days before planting to allow proper decomposition and nutrient availability. 		
White mold is developing on my mushrooms, what are potential solutions?  	Dear Farmer, if you observe white mold on mushrooms, please use the follwing remedies  1. Pick and destroy infected mushroom to prevent spread 2. Sanitize the growth house 3. Lower the temperature to 14°C  4. Use clean equipment 5. Control flies and mites 6. Bubble can destroy with salt 7. Use of clean pasteurized casing media 8. Properly maintained air filtering system. 9. Water early infection centers with formaldehyde 10. For protective measure use zineb 11. Apply chlorothalonil at casing or mix into casing material 		
How many types of onions are there and what are there benefits?  	Dear Farmer, the following are the best onion varieties and their average production 1. Bhima Super: A red onion variety for Chhattisgarh, Delhi, Gujarat, Haryana, Karnataka, Madhya Pradesh, Maharashtra, Odisha, Punjab, Rajasthan and Tamil Nadu.  The average yield will be 20 - 22 t/ha in kharif and 40 - 45 t/ha in late kharif.  2. Bhima Dark Red: Suitable for Chhattisgarh, Delhi, Gujarat, Haryana, Karnataka, Madhya Pradesh, Maharashtra, Odisha, Punjab, Rajasthan and Tamil Nadu for kharif season. Average marketable yield is 20-22 t/ha.  3. Bhima Red: Suitable for rabi season in Maharashtra and Madhya Pradesh, also recommended for kharif season in Delhi, Gujarat, Haryana, Karnataka, Maharashtra, Punjab, Rajasthan and Tamil Nadu. The average marketable yield in kharif season is 19-21 t/ha, in late kharif season is 48-52 t/ha and it is 30-32 t/ha in rabi season. 4. Bhima Shweta: White onion variety suitable for rabi and kharif in Chhattisgarh, Gujarat, Karnataka, Madhya Pradesh, Maharashtra, Odisha, Rajasthan and Tamil Nadu. Average marketable yield during kharif season is 18 - 20 t/ha and in rabi is 26-30 t/ha. 5. Bhima Shubhra: White onion variety recommended for Chhattisgarh, Gujarat, Karnataka, Madhya Pradesh, Maharashtra, Odisha, Rajasthan and Tamil Nadu for kharif season. Average marketable yield during kharif is 18 - 20 t/ha and during late kharif 36-42 t/ha		
How much animal feed should be given to milk cows?  	Dear Farmer, For milking cows the feed requirements will be green fodder (15-20 kg/day), dry fodder (6 kg/day), and concentrates (1-2 kg/day for maintenance, plus 0.4 kg per liter of extra milk production). Cows need 3-4 liters per kg of dry matter intake, plus an additional 3 liters per kg of milk produced. 		
How much feed is needed for a rural cow?  	Dear Farmer, for indigenous cattle green fodder 15 – 20 kg, Straw/Dry Fodder 4-5 Kg, Concentrates 1.25 kg, in addition Vegetable protein supplements like Azolla, groundout cake, sesame cake, cotton seed cake, mustard cum linseed cake, legumes etc can be provided. 		
What should be fed to a pregnant cow?  	Namasthe farmer friend, the following are the daily feed requirements for a pregnant cow  1. Green Fodder 15 - 20 Kg 2. Dry Fodder 4-5 Kg 3. Compound Cattke Feed 2-3 kg 4. Oil Cake 1 kg 5. Mineral Mixture 50 g 6. Salt 30 g  Apart from the above feed the following care should be taken  1. Animals in the last trimester of pregnancy should not be taken far away for grazing, uneven paths should also be avoided. 2. A lactating animal should be dried within a period of 15 days after the 7th month of gestation. Pregnant animals should have enough space for standing and sitting comfortably. 3. Pregnant animals need suitable ration to reduce the possibility of diseases like milk fever and ketosis at the time of calving and also to ensure adequate milk production. 4. Water should be provided round the clock to pregnant animals with a minimum of 75-80 litres of fresh and clean drinking water daily. 5. A heifer after 6-7 months of gestation should be tied with milking animals; and its body, back and udder should be massaged. 6. 4-5 days before calving, the animal should be tied in a separate clean and airy area having sunlight. Bedding materials like paddy straw should be spread on the ground		
How do I manage water in rice cultivation?  	Dear Farmer Friend, Following are the best recommended water management practices for rice cultivation.  1. Agronomic practices for higher water use efficiency - Laser land leveling, Field bund raising, Sunken and raised bed 2. Improved method of irrigation - Surface irrigation, Check basins, Border strip irrigation, Channel to field irrigation 3. Water-efficient rice production system - Aerobic rice, System of rice intensification, Direct seeded rice, Dry direct-seeded rice, Wet direct-seeded rice, Alternate wetting and drying		
What type of beans should I plant?	Dear Farmer, following are the major bean varieties based on agro-climatic conditions: Black gram, Green gram, Red gram, Broad Bean (Faba Bean), French Bean, Cluster Bean, Soya bean 		
What precautions should farmers take to prevent waterlogging?	Dear Farmer, the following precautions need to be followed to prevent water logging in farms 1. Growing crops in raised beds  2. Maintain good drainage system in your farm  3. Multching 4. Minimize seapage inflow in your farm 5. Proper irrigation mamagement  6. Altering farming methods  		
What are the common diseases that affect cattle?	Dear farmer, the common diseases that affect cattle are  1. Anthrax  2. Haemorrhagic Septecemia 3. Black Quarter 4. Bovine Tuberculosis 5. Brucellosis 6. Foot and Mouth Disease 7. Milk fever 8. Bloat 9. Mastitis 10. Anaplasmosis 11. Bovine Babesiosis 12. Theileriosis		
How can animals be protected from infectious diseases?  	Namasthe farmer. The following are some of the best practices to protect animals from infectious diseases  1. Regular Vaccination 2. Parasite Control 3. Regular health checkups for early disease identification and control  4. Provide nutritious feed, clean water, and hygienic living conditions 5. Prevention of Environmental contamination 6. Isolation of sick animals 7. Deworming of animals		
What causes dandruff in onions?  	Dear Farmer, the onion bulbs are susceptible to various fungal diseases due to wet conditions and spread by wind. that cause a "dandruff-like" appearance. These include: 1. Black Mold (Aspergillus spp.): This disease manifests as black discoloration at the neck of the bulb and black streaks beneath the outer scales. 2. Gray Mold (Botrytis spp.): This can cause a powdery, dry decay of the cloves. 3. Purple Blotch and Stemphylium Leaf Blight: While these primarily affect leaves, they can also impact stalks, causing lesions and lodging (falling over). 		
What are the main symptoms of common parasitic diseases found in animals?  	Dear Farmer, following are the symptoms of common parasitic diseases found in animals A. Anaplasmosis -  High rise of temperature,  Loss of condition, Nasal discharge, lacrymation, Inappetance, Coughing, dry rales, moist rales, Rumen atony, dehydration, rough body coat, dyspnoea and muscle tremors. Enlargement of superficial lymphnodes, Grinding of teeth, Pale and icteric mucous membrane  B. Theileriosis  High rise of temperature (40.5˙C to 41.5˙C). Enlargement of regional superficial lymph nodes. Anorexia, restlessness and rough coat. Tense eye balls along with watery lacrymation. Laboured respiration, serous, nasal discharge and coughing. Depression and petechial haemorrhages on conjunctiva. Declination of fever and development of anaemia with high coloured urine in later stage. Urticarial type skin lesions. Weakness, prostration and death.		
How to treat lameness in animals?  	Dear Farmer, Please to treat lameness in animals as described below  1. Non-steroidal anti-inflammatory drugs (NSAIDs) and other pain relievers can help manage pain and inflammation.  2. If the infection is present, use antibiotics to clear the infection and prevent further complications.  3. Trimming overgrown or damaged hooves can help redistribute weight and reduce pressure on painful areas.  4. Footbaths containing disinfectants can help prevent and treat foot infections.  5. A block can be applied to the healthy claw of a foot to relieve pressure on the affected claw in cases of claw lesions or other hoof problems. 6. Proper wound care, including cleaning and bandaging, is essential for injuries.  7. Resting the affected limb is crucial for healing. This may involve keeping the animal in a stall with deep bedding or providing a suitable turnout area.  8. Modifying the environment to reduce hazards, improve footing, and maintain cleanliness is vital 		
How can soil health be improved with crops?	Dear Farmer, Mulching, crop rotation, minimizing tillage, using organic pesticides, residue incorporation and adding organic matter are the good farming practices that enhance nutrient availability, improve soil structure, and reduce erosion, leading to healthier, more productive soils. 		
What are some organic methods of controlling pests and diseases in bean crops?	Dear Farmer friend, please use the following organic methods to control pests and diseases in bean crops 1. Leaf extracts of Neem, Andrographis paniculata, Custard apple 2. Neem seed kernel extracts (NSKE) 500 to 2000 ml per 10 l tank  3. Garlic, Chilli, Ginger extract 500 to 1000 ml per 10 l tank 4. Use pest specific traps/mass traping, Yellow sticky traps. install Bird perches		
What are the diseases that occur in rice crops?  	Namasthe Farmer, disease damage to rice can greatly reduce yield. They are mainly caused by bacteria, viruses, or fungi. following are the major diseases in rice 1. Rice Blast or Blast of Rice 2. Bacterial blight 3. Bacterial Leaf Blight 3. Sheath Rot  4. Brown Spot  5. False Smut  6. Sheath Blight  7. Tungro Disease  8. Foot rot / Bakanae / Foolish Seedling Disease Of Rice. 9. Stem Rot  10. Grassy Stunt Disease  11. Rice Ragged Stunt Virus 13. Blast (leaf and collar)		
There is a lot of grass in the paddy, what are potential solutions?	Dear Farmer, The excessive grass weeds in paddy can be controlled through the following measures Preventive Measures 1. Use of certified and clean seeds from known sources 2. Cleaning seeds by dipping in 2% brine solution helps in separation of floating weed seeds 3. Avoid application of un-decomposed FYM / compost 4. Off season ploughing after rice harvest reduces weed seeds replenishment  5. Deep summer (April – May) ploughing once in three years helps to expose vegetative propagules, also bury the weed seeds.  6. Crop rotation with pulses, oil seeds and other cover crops or with green manure crops   Chemical Control Measures  For Dry Direct Seeded Rice  Bispyribac – Sodium (25 – 30 g/ha) at 10-12 days after emergence  Fenoxaprop-p-ethyl (60 g/ha) at 25 days after emergence   For Wet Direct Seeded Rice Bispyribac – Sodium (25 – 30 g/ha) at 10 days after emergence  For Puddled Transplanted Rice Pyrazosulfuron-ethyl (20 g/ha) during nursery bed stage at 1-3 days after sowing  Bispyribac – Sodium (25 – 30 g/ha) at 10-12 days after transplantation  Penoxulam (25 g/ha) at 15 – 20 days after transplantation   		
Which onion seed is good?  	Dear Farmer, the following are the best onion varieties and their average production 1. Bhima Super: A red onion variety for Chhattisgarh, Delhi, Gujarat, Haryana, Karnataka, Madhya Pradesh, Maharashtra, Odisha, Punjab, Rajasthan and Tamil Nadu.  The average yield will be 20 - 22 t/ha in kharif and 40 - 45 t/ha in late kharif.  2. Bhima Dark Red: Suitable for Chhattisgarh, Delhi, Gujarat, Haryana, Karnataka, Madhya Pradesh, Maharashtra, Odisha, Punjab, Rajasthan and Tamil Nadu for kharif season. Average marketable yield is 20-22 t/ha.  3. Bhima Red: Suitable for rabi season in Maharashtra and Madhya Pradesh, also recommended for kharif season in Delhi, Gujarat, Haryana, Karnataka, Maharashtra, Punjab, Rajasthan and Tamil Nadu. The average marketable yield in kharif season is 19-21 t/ha, in late kharif season is 48-52 t/ha and it is 30-32 t/ha in rabi season. 4. Bhima Shweta: White onion variety suitable for rabi and kharif in Chhattisgarh, Gujarat, Karnataka, Madhya Pradesh, Maharashtra, Odisha, Rajasthan and Tamil Nadu. Average marketable yield during kharif season is 18 - 20 t/ha and in rabi is 26-30 t/ha. 5. Bhima Shubhra: White onion variety recommended for Chhattisgarh, Gujarat, Karnataka, Madhya Pradesh, Maharashtra, Odisha, Rajasthan and Tamil Nadu for kharif season. Average marketable yield during kharif is 18 - 20 t/ha and during late kharif 36-42 t/ha		
How to prepare a room to grow button mushrooms?  	Dear Farmer, there are two types of systems for growing button mushrooms   a) Tray system of cultivation  The compost shold be filled in trays leaving about 5 cm from the top. Different types are   1. Single layer spawning: The grain spawn is scattered uniformly all over the compost surface in a tray which is then covered with a thin layer of compost 200 g of spawn for 1 m² beds.  2. Double layer spawning: The trays are half filled and spawn is scattered. Then the tray is filled completely compost and spawn is applied as above and covered with a thin layer of spawn.  3.Through spawning/ mixed spawning: The required quantity of spawn is mixed with the compost and filled in trays or polybags  4.Spot spawning: The compost is filled in trays and holes of 2.5 to 5 cm deep are made with fingers about 8-12 cm apart in rows. About 5g of spawn if introduced into the cavities and covered with a thin layer of compost.  After spawning the beds should be covered with sterilized newspapers and water is sprinkled over the papers to maintain the moisture in the compost. The temperature should be around 25± 2° C with RH of 90 per cent. The spawn running will be completed in 15 days and it is ready for casing.  b) Bag system of cultivation  In this method polythene covers of size: 35”x24” with 150 gauge thickness are used. The spawn is mixed with the compost @ 500- 750 g/ 100 kg compost. Then mixed compost is filled in polythene bags @ 15-20 kg / bag. Finally, the beds are covered with newspaper.		
When can you cultivate paddy in Bihar?  	Dear Farmer, in Bihar, paddy is primarily cultivated during the Kharif (monsoon) season from June to October.		
When can you cultivate onions?  	Namasthe farmer sir, Onions can be cultivated in both Kharif (monsoon) and Rabi (winter) seasons. However, Rabi crop typically contributing the most to the total production		
How can I plant mushrooms?	Dear Farmer, to grow mushrooms, you'll need to create a suitable environment and introduce mushroom spawn (or spores) into a growing medium. The process involves preparing the medium, inoculating it with spawn, and maintaining optimal conditions for growth.  1. Choose a Suitable Space: Indoor cultivation: Mushrooms thrive in controlled environments, making indoor growing easier and more predictable.  Temperature and humidity: Most mushroom types prefer a specific temperature range (around 55-60°F) and a moderate level of humidity.  Darkness: Some mushrooms, like white button mushrooms, need darkness for optimal growth, while others can tolerate indirect light.   2. Select a Mushroom Type and Obtain Spawn/Spores:  Mushroom types: Popular choices include oyster mushrooms, shiitake mushrooms, and white button mushrooms.  Spawn vs. Spores: Spawn is a more advanced stage of mushroom growth that already has mycelium (the fungal root system) and is easier to use than spores.  Obtaining spawn: You can purchase spawn from mushroom suppliers or grow your own from stems of oyster mushrooms.   3. Prepare the Growing Medium: Suitable substrates: Various materials can be used, including compost, straw, sawdust, wood chips, and even coffee grounds.  Preparation: Substrates may need to be sterilized or pasteurized to eliminate unwanted microorganisms.   4. Inoculate the Medium with Spawn/Spores:  Inoculation methods: This involves mixing the spawn/spores with the prepared medium. Spawn: You can evenly distribute spawn throughout the medium. Spores: Spores can be sprinkled on the medium.   5. Maintain Optimal Conditions: Temperature: Keep the medium at the optimal temperature for your chosen mushroom type.  Humidity: Maintain moisture in the growing medium without it being overly wet.  Air circulation: Ensure adequate airflow to prevent fungal diseases.   6. Harvest When Mushrooms are Ready: Fruiting: As the mycelium grows, it will produce primordia (small bumps) which will eventually develop into mature mushrooms. Harvest time: Harvest mushrooms when they are fully formed and before they release spores.   		
What diseases are caused by mushrooms?  	Dear farmer namasthe, some fungi cause human illness through poisoning, parasitic infections, and allergic reactions. Poisoning happens when people eat toxic fungi, they experience digestive problems, hallucinations, organ failure, and even death. Most cases of mushroom poisoning are due to mistaken identity. Candida are yeast that cause candidiasis, commonly called a “yeast infection” and Trichophyton fungi cause ringworm. Mold allergies are very common and caused by airborne mold spores. 		
What types of mushrooms are there?	Dear Farmer Friend, there are edible and non-edible mushroom species. The commonly grown edible mushrooms are button mushrooms, oyster mushrooms, shiitake mushrooms, enoki mushrooms, portobello mushrooms, and morel mushrooms (Guchhi). Other notable edible varieties include straw mushrooms, cremini mushrooms, and Shimeji mushrooms. 		
